doc_id,company_name,stock_code,grant_amount,grant_ratio,participant_count,exercise_price,discount_rate,waiting_period,validity_period
1224831097,富祥药业,300497,620.0,7.58,50,16.15,,12.0,60.0
1224906264,弘亚数控,2833,1266.0,20.96,191,11.99,,12.0,60.0
1224848770,良信股份,2706,776.0,1.0,386,8.22,,12.0,36.0
1224821225,北方华创,2371,1046.5975,1.0,2306,235.74,,24.0,84.0
1224802424,安乃达,603350,110.625,5.0,86,39.02,,12.0,12.0
1224794179,杰创智能,301248,251.875,1.0,79,26.01,,12.0,36.0
1224755372,菲菱科思,301191,139.53,3.58,430,99.86,,18.0,72.0
1224636846,运机集团,1288,498.0,1.0,31,17.32,,12.0,48.0
1224635293,君实生物,688180,2617.5871,1.0,251,46.67,,12.0,12.0
1224633200,德明利,1309,386.3,2.13,294,80.99,,12.0,60.0
1224633025,*ST双成,2693,800.0,29.1368,149,7.93,,12.0,48.0
1224560888,晶澳科技,2459,16177.6185,41.17,1975,9.15,,12.0,60.0
1224561767,恒生电子,600570,1515.9,1.0,624,37.98,,60.0,60.0
1224687306,盾安环境,2011,477.0,0.45,415,14.1,,12.0,120.0
1224686434,魅视科技,1229,0.03,0.6,82,26.13,,12.0,48.0
1224682345,众兴菌业,2772,1437.5,28.7786,17,6.87,,12.0,60.0
1224682826,明阳智能,601615,2000.0,19.63,260,14.03,,12.0,36.0
1224518013,大洋电机,2249,1560.0,1.0,715,6.12,,48.0,48.0
1224519309,永冠新材,603681,580.0,19.49,112,16.1,,12.0,12.0
1224672514,卡莱特,301391,180.0,1.67,308,68.57,,12.0,48.0
1224387868,盈新发展,620,5000.0,0.85,90,1.66,,12.0,12.0
1224330159,神马电力,603530,974.41,18.28,61,26.47,,12.0,12.0
1224330361,鹏辉能源,300438,1560.0,1.0,319,21.59,,12.0,12.0
1224650866,凯中精密,2823,96.1,42.04,11,12.6,,36.0,36.0
1224651515,乐心医疗,300562,200.0,28.91,40,15.21,,12.0,36.0
1224269819,华胜天成,600410,2000.0,17.8647,8,7.9,,12.0,60.0
1224215903,超讯通信,603322,1100.0,20.012,49,30.94,,36.0,36.0
1224616327,柳药集团,603368,287.2,19.7,108,18.12,,12.0,36.0
1224058147,海量数据,603138,1765.9962,16.3076,10,12.84,,12.0,117.0
1224561796,复星医药,600196,572.61,,201,27.93,,60.0,60.0
1224561923,复星医药,2196,572.61,,201,27.93,,60.0,60.0
1223954372,日辰股份,603755,228.0,1.0,26,26.63,,12.0,48.0
1224462917,超图软件,300036,997.0,4.76,351,16.38,,12.0,60.0
1223888797,深圳新星,603978,200.0,25.0,6,13.33,,36.0,36.0
1224145530,奥尼电子,301189,200.0,29.09,44,27.08,,12.0,48.0
1223697465,新国都,300130,1900.0,1.58,73,25.0,,12.0,36.0
1223544845,诺德股份,600110,3113.0,2.02,124,3.41,,12.0,36.0
1223496663,歌尔股份,2241,6806.0,1.95,6302,22.21,,12.0,36.0
1223490568,君逸数码,301172,500.0,100.0,45,26.8,,12.0,48.0
1223417952,菲沃泰,688371,465.8312,1.0,15,16.0,,12.0,60.0
1223410764,焦点科技,2315,1532.4,29.38,1153,29.04,,12.0,12.0
1223848536,罗普特,688619,550.0,19.82,26,10.06,,12.0,12.0
1223374233,圆通速递,600233,1130.3,20.26,140,10.52,,12.0,12.0
1223380628,味知香,605089,270.0,1.0,93,19.22,,12.0,60.0
1223379358,老板电器,2508,608.0,29.0153,372,17.58,,12.0,48.0
1223348592,立讯精密,2475,22150.0,0.68,3126,25.35,,12.0,84.0
1222925629,开普云,688228,0.015,19.0817,120,57.84,,12.0,12.0
1222895931,璞泰来,603659,3200.0,19.0258,262,15.43,,12.0,60.0
1222881781,兆新股份,2256,3127.7564,1.0,88,2.06,,60.0,60.0
1222870272,沃尔核材,2130,823.38,100.0,493,21.73,,12.0,36.0
1222870342,万东医疗,600055,1080.0,19.1318,87,15.18,,12.0,60.0
1222869905,远航精密,833914,450.0,1.0,68,9.89,,12.0,12.0
1222847348,瑞芯微,603893,117.0,17.09,7,137.67,,48.0,48.0
1222806421,韦尔股份,603501,2000.0,17.45,3444,139.29,,48.0,48.0
1222675417,万里马,300591,2028.0,1.0,65,4.46,,12.0,36.0
1222431699,指南针,300803,529.09,1.0,422,91.75,,12.0,39.0
1222419473,东方通,300379,1200.0,2.15,130,14.43,,12.0,36.0
1222405943,永臻股份,603381,640.0,19.9401,129,17.08,,12.0,60.0
1222355473,步科股份,688160,168.49,1.0,56,65.81,,12.0,12.0
1221910338,未名医药,2581,1963.46,9.47,100,12.35,,12.0,40.0
1221866772,国子软件,872953,137.7175,1.0,91,34.42,,12.0,12.0
1222581396,东土科技,300353,666.67,38.03,30,15.0,,12.0,12.0
1221662898,罗莱生活,2293,465.0,2.32,148,3.66,,12.0,60.0
1221641997,拓邦股份,2139,3300.0,100.0,1200,9.6,,12.0,48.0
1222190255,凯盛科技,600552,1811.11,1.0,194,12.13,,12.0,12.0
1222156235,新洁能,605111,105.358,1.0,138,29.12,,60.0,60.0
1221356125,播恩集团,1366,432.3,1.0,86,11.37,,12.0,12.0
1221360641,朗鸿科技,836395,239.5479,1.0,25,6.73,,12.0,12.0
1221344222,国晟科技,603778,5142.85,1.0,76,1.82,,12.0,12.0
1221316032,志特新材,300986,96.0,21.48,191,8.1,,12.0,12.0
1221790913,华谊兄弟,300027,9139.0,3.29,187,2.85,,48.0,36.0
1221052621,苏 泊 尔,2032,113.1,8.488,57,37.89,,12.0,24.0
1220825584,剑桥科技,603083,1560.1,13.15,794,29.48,,12.0,36.0
1221191937,普门科技,688389,1131.0,1.0,186,13.8,,48.0,48.0
1221192060,大博医疗,2901,800.0,20.76,682,23.89,,12.0,12.0
1221192080,有研硅,688432,1235.0,30.69,92,9.11,,12.0,12.0
1220796380,山水比德,300844,387.84,6.0,47,29.68,,36.0,36.0
1220701561,引力传媒,603598,270.0,1.01,22,9.97,,12.0,36.0
1220690801,金河生物,2688,1175.0,20.52,25,2.94,,12.0,36.0
1220648062,道森股份,603800,194.18,15.45,50,15.39,,36.0,36.0
1220628753,豪恩汽电,301488,41.9,24.96,200,53.99,,12.0,12.0
1221034336,新巨丰,301296,840.0,50.0,128,7.29,,12.0,36.0
1220535598,安正时尚,603839,939.0,1.0,16,4.49,,12.0,12.0
1220521701,富春股份,300299,2700.0,20.25,39,3.61,,12.0,36.0
1220512975,天津普林,2134,398.92,30.0,10,8.98,,12.0,36.0
1220955321,沪电股份,2463,3000.0,0.6667,626,20.22,,24.0,48.0
1220872919,共达电声,2655,1800.0,6.6667,119,10.6,,12.0,12.0
1220402476,领益智造,2600,23800.0,30.38,1463,4.46,,60.0,60.0
1220807216,理工能科,2322,700.0,6.25,87,13.91,,12.0,48.0
1220806891,春风动力,603129,355.0,13.19,1310,106.0,,12.0,12.0
1220376685,海星股份,603115,900.0,8.89,88,9.3,,48.0,48.0
1220197318,曲美家居,603818,1646.0,38.9685,91,3.56,,12.0,12.0
1220159905,小熊电器,2959,63.712,1.0275,49,47.41,,12.0,36.0
1220087765,极米科技,688696,20.0,1.97,21,101.11,,12.0,12.0
1220089787,天马科技,603668,920.0,13.27,155,14.96,,12.0,48.0
1220061972,牧高笛,603908,63.18,1.0,32,27.69,,12.0,12.0
1220378023,瑞玛精密,2976,480.0,5.0,108,17.13,,12.0,12.0
1219918170,拉芳家化,603630,240.13,1.07,32,9.85,,12.0,42.0
1219908494,三只松鼠,300783,243.86,19.87,96,24.02,,12.0,12.0
1219879171,邦基科技,603151,878.0,1.0,155,12.85,,12.0,12.0
1219772786,锐明技术,2970,342.0,20.0673,146,21.12,,12.0,48.0
1219763922,日盈电子,603286,500.0,2.0,130,9.98,,60.0,12.0
1219553244,中贝通信,603220,1490.0,13.34,75,32.27,,12.0,12.0
1219537254,康冠科技,1308,2666.3272,0.68,2154,26.52,,12.0,48.0
1219517956,华铁应急,603300,9900.0,13.34,532,6.22,,12.0,36.0
1219985430,东鹏控股,3012,310.0,1.0,123,7.0,,12.0,60.0
1219987034,国光连锁,605188,1383.0,1.0,142,5.95,,12.0,48.0
1219426067,万向钱潮,559,6974.6,1.0,602,4.39,,48.0,48.0
1219360929,唯特偶,301319,173.75,18.6,364,50.0,,12.0,12.0
1219329394,立方控股,833030,405.0,1.0,64,8.0,,12.0,12.0
1219297801,信质集团,2664,700.0,18.58,153,10.79,,48.0,48.0
1219826058,鼎龙股份,300054,2500.0,1.6,296,19.03,,12.0,48.0
1219839474,伟创电气,688698,430.0,13.6361,96,27.57,,60.0,60.0
1219747689,亿联网络,300628,96.243,0.08,270,34.44,,36.0,36.0
1219696536,兆易创新,603986,0.067814,1.65,45,59.18,,60.0,60.0
1219706899,祖名股份,3030,72.0,0.9016,41,12.36,,12.0,36.0
1219636231,蔚蓝锂芯,2245,554.1,1.0,142,7.95,,48.0,48.0
1219622393,宁水集团,603700,180.55,0.89,85,11.41,,12.0,36.0
1218859385,纳思达,2180,4048.21,4.39,2144,22.26,,12.0,70.0
1219465836,捷邦科技,301326,180.0,5.0,72,27.6,,12.0,12.0
1218743602,达嘉维康,301126,344.0,5.0,33,13.76,,12.0,60.0
1218734321,振华重工,600320,7902.53,54.01,347,3.31,,12.0,36.0
1218706667,斯瑞新材,688102,1680.0,12.59,85,12.8,,12.0,12.0
1218674960,七一二,603712,2161.6,0.29,431,28.89,,24.0,60.0
1218548112,欣锐科技,300745,800.0,5.0,196,31.79,,12.0,64.0
1218534994,美年健康,2044,7828.5,16.3276,360,4.29,,12.0,12.0
1219221448,光智科技,300489,1056.0,81.06,156,15.53,,48.0,48.0
1219199182,捷顺科技,2609,1600.0,1.0,217,8.97,,12.0,12.0
1219110967,海大集团,2311,3400.0,1.0,3745,29.96,,6.0,48.0
1218308622,地铁设计,3013,360.009,1.1793,360,8.85,,12.0,60.0
1218169710,中远海能,600026,2246.55,0.589,107,13.0,,,24.0
1218033365,奕瑞科技,688301,300.0,2.87,455,113.74,,12.0,60.0
1218004683,连城数控,835368,411.3,1.95,356,24.77,,12.0,36.0
1217995536,中国天楹,35,5093.0,1.0,373,3.94,,6.0,60.0
1217971572,安井食品,603345,1200.0,12.85,1462,106.03,,12.0,12.0
1217971641,钧达股份,2865,423.0,1.0,450,74.99,,12.0,12.0
1217971208,盈方微,670,1633.0,1.0,62,6.32,,48.0,48.0
1218247780,纵横通信,603602,365.0,13.19,5,15.41,,12.0,12.0
1217835309,宏川智慧,2930,578.0,15.78,191,22.28,,12.0,48.0
1218192399,"创远仪器,创远信科",831961,1000.0,1.0,150,4.55,,12.0,12.0
1218110702,索菱股份,2766,260.0,0.22,25,5.19,,12.0,12.0
1218077508,亿纬锂能,300014,725.0,1.0,44,70.0,,48.0,48.0
1217983455,金雷股份,300443,200.0,4.27,53,29.77,,12.0,12.0
1217970371,天融信,2212,72.441,100.0,27,9.26,,12.0,60.0
1217907903,神通科技,605228,1800.0,13.01,180,10.43,,12.0,12.0
1217716758,游族网络,2174,2555.0,16.7817,359,13.22,,12.0,48.0
1217719500,龙蟠科技,603906,615.0,3.09,199,11.92,,36.0,36.0
1217701258,保隆科技,603197,899.35,1.0,483,45.11,,36.0,36.0
1217676143,环旭电子,601231,1523.2,1.0,421,14.54,,36.0,36.0
1217238474,移远通信,603236,793.7,13.11,313,54.84,,12.0,54.0
1217185589,煌上煌,2695,200.0,16.2675,222,8.14,,12.0,12.0
1217183595,先惠技术,688155,331.364,13.38,718,54.0,,12.0,12.0
1217576579,海利生物,603718,1800.0,2.8,99,4.78,,12.0,48.0
1217133288,岱勒新材,300700,228.0,1.0,34,16.57,,36.0,12.0
1217500803,胜利精密,2426,10000.0,17.51,267,2.42,,12.0,12.0
1217479928,飞鹿股份,300665,1958.0,12.27,68,8.62,,12.0,12.0
1217471926,闻泰科技,600745,1264.668,1.02,1903,38.59,,12.0,12.0
1217468349,禾信仪器,688622,287.8,13.13,74,33.04,,12.0,12.0
1217469430,奥拓电子,2587,600.0,1.0,90,6.93,,12.0,12.0
1217469409,奇安信,688561,1027.76,1.0,921,52.01,,12.0,60.0
1217013816,家家悦,603708,1310.5,1.0,372,13.1,,12.0,12.0
1216978740,华体科技,603679,810.0,13.5924,98,13.93,,12.0,60.0
1216958709,法本信息,300925,229.62,1.0,68,14.9,,60.0,60.0
1217275133,韵达股份,2120,3557.0,1.0,361,9.73,,12.0,60.0
1217265528,高能环境,603588,1346.55,1.0,752,9.33,,12.0,60.0
1216876805,粤海饲料,1313,2750.0,1.0,246,9.03,,12.0,12.0
1216875964,三孚新科,688359,450.0,1.0,9,80.0,,12.0,48.0
1216869668,苏州科达,603660,755.55,1.53,947,3.85,,12.0,36.0
1216854623,瑞茂通,600180,6690.0,100.0,143,6.28,,12.0,36.0
1216701190,思源电气,2028,2200.0,1.36,477,45.7,,12.0,60.0
1216657867,柳    工,528,5740.0,4.5,1100,7.2,,24.0,12.0
1216667786,歌力思,603808,1340.0,1.45,490,11.04,,42.0,42.0
1217056112,爱旭股份,600732,1168.54,0.67,1126,19.01,,12.0,48.0
1216557087,直真科技,3007,165.5212,2.0962,68,23.1,,12.0,12.0
1216441792,香飘飘,603711,1357.0,7.74,39,14.74,,12.0,12.0
1216380818,遥望科技,2291,4000.0,0.52,269,14.33,,12.0,48.0
1216822018,绿盟科技,300369,1805.7,5.0,469,13.54,,12.0,48.0
1216809098,华岭股份,430139,800.0,1.0,45,5.43,,12.0,12.0
1216167983,悦心健康,2162,900.0,20.1,84,3.41,,12.0,12.0
1216168385,爱玛科技,603529,481.2,15.8036,328,48.07,,12.0,48.0
1216115804,同力股份,834599,1000.0,1.0,12,5.04,,12.0,12.0
1216666794,淳中科技,603516,324.4,13.9423,221,18.03,,12.0,36.0
1216561147,兴业科技,2674,1670.0,3.77,251,8.19,,12.0,12.0
1216381400,振江股份,603507,1300.0,1.0,15,37.06,,12.0,48.0
1215457366,因赛集团,300781,100.0,21.545,112,13.03,,12.0,12.0
1216301238,禾望电气,603063,2252.0,1.0,354,27.65,,12.0,12.0
1216274414,神州信息,555,3717.0,19.1,259,13.64,,12.0,52.0
1216281403,ST同洲,2052,5237.5,1.0,95,2.07,,12.0,12.0
1216271792,济民医疗,603222,330.0,15.58,42,12.01,,12.0,12.0
1216277571,铂科新材,300811,138.7,1.686,233,90.49,,60.0,60.0
1215650729,欧菲光,2456,7500.0,2.67,116,4.99,,72.0,72.0
1214945342,长园集团,600525,915.0,2.186,112,4.97,,12.0,36.0
1214826802,元隆雅图,2878,556.0,80.04,35,13.65,,12.0,12.0
1214825162,神雾节能,820,3186.2261,21.63,16,3.52,,12.0,12.0
